ours|0.1|0.5|0.5
svm|0.1|0.5|0.5
ours|0.1|1|0.5
svm|0.1|1|0.5
ours|0.1|1.5|0.5
svm|0.1|1.5|0.5
ours|0.1|2|0.5
svm|0.1|2|0.5
ours|0.1|2.5|0.5
svm|0.1|2.5|0.8
ours|0.1|3|0.5
svm|0.1|3|0.73
ours|0.3|0.5|0.5
svm|0.3|0.5|0.6
ours|0.3|1|0.5
svm|0.3|1|0.84
ours|0.3|1.5|0.5
svm|0.3|1.5|0.75
ours|0.3|2|0.5
svm|0.3|2|0.69
ours|0.3|2.5|0.49
svm|0.3|2.5|0.66
ours|0.3|3|0.63
svm|0.3|3|0.67


ours|0.1|0.5|0.5010600706713781
svm|0.1|0.5|0.5010600706713781
ours|0.1|1|0.5010600706713781
svm|0.1|1|0.5010600706713781
ours|0.1|1.5|0.5010600706713781
svm|0.1|1.5|0.5010600706713781
ours|0.1|2|0.5010600706713781
svm|0.1|2|0.5159010600706714
ours|0.1|2.5|0.5010600706713781
svm|0.1|2.5|0.8254416961130742
ours|0.1|3|0.5010600706713781
svm|0.1|3|0.7886925795053004
ours|0.3|0.5|0.5010600706713781
svm|0.3|0.5|0.6021201413427562
ours|0.3|1|0.5010600706713781
svm|0.3|1|0.823321554770318
ours|0.3|1.5|0.5045936395759717
svm|0.3|1.5|0.7985865724381626
ours|0.3|2|0.508833922261484
svm|0.3|2|0.7448763250883392
ours|0.3|2.5|0.5144876325088339
svm|0.3|2.5|0.7137809187279152
ours|0.3|3|0.6600706713780918
svm|0.3|3|0.7010600706713781
ours|0.1|0.5|0.6431095406360424
svm|0.1|0.5|0.6169611307420495
ours|0.1|1|0.6282685512367491
svm|0.1|1|0.592226148409894
ours|0.1|1.5|0.6282685512367491
svm|0.1|1.5|0.5795053003533569
ours|0.1|2|0.6275618374558304
svm|0.1|2|0.5738515901060071
ours|0.1|2.5|0.620494699646643
svm|0.1|2.5|0.5717314487632509
ours|0.1|3|0.6593639575971731
svm|0.1|3|0.5681978798586572
ours|0.3|0.5|0.6395759717314488
svm|0.3|0.5|0.7392226148409894
ours|0.3|1|0.6303886925795052
svm|0.3|1|0.6339222614840989
ours|0.3|1.5|0.6247349823321555
svm|0.3|1.5|0.6169611307420495
ours|0.3|2|0.6190812720848057
svm|0.3|2|0.6049469964664311
ours|0.3|2.5|0.6162544169611307
svm|0.3|2.5|0.5985865724381625
ours|0.3|3|0.6565371024734983
svm|0.3|3|0.592226148409894
