format: lambda|v|accuracy
2D data. minus blob from -1 to 1, plus blob from 1 to 3. v_init = 1
0.00100|0.960000000|[6.6089, 0.3607]
0.00146|0.950000000|[7.0723, 0.8959]
0.00212|0.966000000|[7.0062, 0.8976]
0.00309|0.960000000|[6.3208, 1.5462]
0.00449|0.966000000|[6.4351, 0.4996]
0.00654|0.910000000|[5.7156, 0.4754]
0.00953|0.906000000|[5.1269, 0.3815]
0.01000|0.648000000|[1.9334, 0.8233]
0.01000|0.636000000|[2.0426e+00, 1.2789e-04]
0.01000|0.674000000|[2.1133, 0.0143]
0.01000|0.678000000|[2.1528, 0.1892]
0.01000|0.686000000|[2.0766, 0.2737]
0.01000|0.752000000|[2.0667, 0.0886]
0.01000|0.776000000|[2.1494, 0.6959]
0.01000|0.668000000|[1.9195, 0.1143]
0.01000|0.666000000|[1.9574, 0.0700]
0.01000|0.696000000|[1.9494, 0.5003]
0.01000|0.750000000|[2.0855, 0.1630]
0.01000|0.662000000|[2.0183, 0.0050]
0.01000|0.652000000|[1.9911e+00, 1.1597e-03]
0.01000|0.808000000|[2.0755, 0.0024]
0.01000|0.732000000|[1.9737, 0.1734]
0.01000|0.716000000|[2.0917, 0.1137]
0.01000|0.652000000|[2.0824e+00, 1.1558e-03]
0.01000|0.694000000|[2.0732, 0.0744]
0.01387|0.914000000|[5.1041, 0.6016]
0.02020|0.796000000|[4.2396, 0.7311]
0.02940|0.674000000|[3.8708, 0.0386]
0.04281|0.782000000|[3.4025, 0.1774]
0.06234|0.760000000|[2.5365, 0.2928]
0.09076|0.650000000|[1.9000, 0.3170]
0.13215|0.718000000|[2.0361, 0.5715]
0.19240|0.674000000|[1.9795, 0.0340]
0.28014|0.670000000|[1.8420, 0.1337]
0.40787|0.648000000|[1.9790, 0.0243]
0.59386|0.688000000|[1.8632, 0.1200]
0.86465|0.776000000|[2.0740, 0.0085]
1.25893|0.736000000|[1.8677, 0.1307]
