format: lambda|social burden|accuracy
3D data. seed used: 100
0.01000|0.16137|86.00000
0.01456|0.14843|85.00000
0.02120|0.15163|85.00000
0.03087|0.16652|85.00000
0.04494|0.14983|85.00000
0.06543|0.13856|85.00000
0.09527|0.10497|83.00000
0.13871|0.09230|82.00000
0.20196|0.06347|79.00000
0.29405|0.06573|79.00000
0.42813|0.02300|76.00000
0.62336|0.01574|75.00000
0.90760|0.01217|75.00000
1.32146|0.00278|75.00000
1.92402|0.00461|75.00000
4.07874|0.00431|74.00000
5.93860|0.00044|73.00000
12.58925|0.00030|73.00000
