format: lambda|social burden|accuracy
3D data. seed used: 111
0.03162|-0.767355178|0.852000000
0.03731|-0.755569533|0.844000000
0.04401|-0.760736867|0.844000000
0.05193|-0.757192845|0.848000000
0.06126|-0.740154946|0.852000000
0.07227|-0.702139184|0.848000000
0.08526|-0.682561381|0.852000000
0.10059|-0.678099118|0.848000000
0.11867|-0.636564335|0.844000000
0.14001|-0.606495448|0.844000000
0.16518|-0.567388215|0.844000000
0.19487|-0.523020644|0.840000000
0.22990|-0.463626732|0.836000000
0.27123|-0.394774087|0.832000000
0.31998|-0.363624783|0.828000000
0.37751|-0.309638073|0.828000000
0.44537|-0.249735607|0.824000000
0.52543|-0.184975830|0.812000000
0.61988|-0.128343079|0.804000000
0.73131|-0.063174179|0.800000000
0.86277|0.056760383|0.712000000
1.01787|0.180087754|0.628000000
1.20085|0.259024790|0.564000000
1.41671|0.322308595|0.532000000
1.67139|0.429375414|0.528000000
1.97184|0.538485828|0.528000000
2.32631|0.621371312|0.528000000
2.74449|0.677191520|0.528000000
3.23785|0.717857253|0.528000000
3.81989|0.748082568|0.528000000
4.50657|0.777989213|0.528000000
5.31669|0.801127791|0.528000000
6.27243|0.824615941|0.528000000
7.39998|0.843968403|0.528000000
8.73023|0.858372798|0.528000000
10.29960|0.871639595|0.528000000
12.15109|0.884423532|0.528000000
14.33541|0.894004849|0.528000000
16.91240|0.903194549|0.528000000
19.95262|0.911301255|0.528000000
